Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
459,SW,AR,HRO,Harrison,Boone County,CS,None,"4,761","3,493",36.30%
460,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,None,"4,571","2,961",54.37%
461,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,"4,570","3,716",22.98%
462,EA,PA,DUJ,Brookville,Dubois Regional,CS,None,"4,561","2,451",86.09%
463,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,CS,None,"4,531","2,085",117.31%
464,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,CS,None,"4,408","3,439",28.18%
465,SW,AR,HOT,Hot Springs,Memorial Field,CS,None,"4,388","3,023",45.15%
467,EA,PA,AOO,Altoona,Altoona/Blair County,CS,None,"4,278","1,473",190.43%
468,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,"4,258","3,546",20.08%
469,WP,CA,SQL,San Carlos,San Carlos,CS,None,"4,257","2,854",49.16%
470,EA,PA,IPT,Williamsport,Williamsport Regional,CS,None,"4,212","6,847",-38.48%
471,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,"4,163","2,791",49.16%
472,SO,FL,VRB,Vero Beach,Vero Beach Regional,CS,None,"4,156","2,337",77.83%
473,CE,MO,IRK,Kirksville,Kirksville Regional,CS,None,"4,099","2,905",41.10%
474,EA,PA,LNS,Lititz,Lancaster,CS,None,"4,072","2,418",68.40%
475,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,"4,041","2,605",55.12%
476,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,"3,956","1,619",144.35%
477,AL,AK,ANI,Aniak,Aniak,CS,None,"3,935","2,672",47.27%
478,AL,AK,ILI,Iliamna,Iliamna,CS,None,"3,933","2,900",35.62%
479,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,"3,890","2,263",71.90%
480,NE,ME,AUG,Augusta,Augusta State,CS,None,"3,836","1,744",119.95%
481,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,"3,814","6,323",-39.68%
